# cmd: kubectl get events -A
# at: 2026-09-17T05:14:26Z

NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
default              40m         Normal    NodeHasSufficientMemory   node/chaos-control-plane                                    Node chaos-control-plane status is now: NodeHasSufficientMemory
default              40m         Normal    NodeHasNoDiskPressure     node/chaos-control-plane                                    Node chaos-control-plane status is now: NodeHasNoDiskPressure
default              40m         Normal    NodeHasSufficientPID      node/chaos-control-plane                                    Node chaos-control-plane status is now: NodeHasSufficientPID
default              40m         Normal    NodeAllocatableEnforced   node/chaos-control-plane                                    Updated Node Allocatable limit across pods
default              40m         Normal    Starting                  node/chaos-control-plane                                    
default              40m         Normal    RegisteredNode            node/chaos-control-plane                                    Node chaos-control-plane event: Registered Node chaos-control-plane in Controller
default              16m         Normal    Scheduled                 pod/client                                                  Successfully assigned default/client to chaos-control-plane
default              16m         Normal    Pulled                    pod/client                                                  Container image "docker.m.daocloud.io/library/busybox:1.38.0" already present on machine
default              16m         Normal    Created                   pod/client                                                  Created container client
default              16m         Normal    Started                   pod/client                                                  Started container client
default              18m         Normal    Scheduled                 pod/nginx-6559559688-ggv7d                                  Successfully assigned default/nginx-6559559688-ggv7d to chaos-control-plane
default              18m         Normal    Pulled                    pod/nginx-6559559688-ggv7d                                  Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
default              18m         Normal    Created                   pod/nginx-6559559688-ggv7d                                  Created container nginx
default              18m         Normal    Started                   pod/nginx-6559559688-ggv7d                                  Started container nginx
default              11m         Normal    Updated                   podnetworkchaos/nginx-6559559688-ggv7d                      Successfully update ObservedGeneration and FailedMessage of resource
default              18m         Normal    Scheduled                 pod/nginx-6559559688-mvlcx                                  Successfully assigned default/nginx-6559559688-mvlcx to chaos-control-plane
default              18m         Normal    Pulled                    pod/nginx-6559559688-mvlcx                                  Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
default              18m         Normal    Created                   pod/nginx-6559559688-mvlcx                                  Created container nginx
default              18m         Normal    Started                   pod/nginx-6559559688-mvlcx                                  Started container nginx
default              11m         Normal    Updated                   podnetworkchaos/nginx-6559559688-mvlcx                      Successfully update ObservedGeneration and FailedMessage of resource
default              18m         Normal    Scheduled                 pod/nginx-6559559688-tlcvs                                  Successfully assigned default/nginx-6559559688-tlcvs to chaos-control-plane
default              18m         Normal    Pulled                    pod/nginx-6559559688-tlcvs                                  Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
